"","x"
"396.13793_241.9",2896
"396.1455_446.7",163
"396.19251_326.8",2899
"396.21755_583.8",2899
"396.78336_964",81
"396.8906_944",54
"397.00299_102.6",2900
"397.14991_231.6",2902
"397.16846_295.9",2898
"397.17796_270.4",2892
"397.20486_309.2",2896
"397.22272_414.1",2897
"397.22591_438.9",2901
"397.26976_315.9",2899
"397.33191_633.5",2898
"397.36786_622",2900
"397.83195_950",107
"397.89331_944",65
"398.00602_102.6",2898
"398.15299_232.2",2893
"398.20827_309.2",2897
"398.22943_438.9",2896
"398.88636_944",56
"398.93595_347.4",2899
"399.00114_102.5",2901
"399.14729_555.3",2897
"399.20633_309.2",2901
"399.2205_317.1",2900
"399.25073_605.1",2896
"399.27445_528.1",2901
"399.3262_574.7",2899
"399.34597_587.5",2898
"399.83026_949.4",94
"400.16342_588.1",2891
"400.20659_308.6",2897
"400.24869_484.1",2903
"400.32939_574.7",2896
"401.12252_415.3",2894
"401.16284_588.1",2898
"401.23267_522.6",162
"401.29012_554.7",2895
"401.85798_26.7",2898
"402.21278_303.1",2892
"402.91038_949.4",328
"403.06149_343.1",2901
"403.16336_588.1",2896
"403.66697_251.6",2879
"405.1193_278.9",2895
"405.84988_947",102
"405.93873_954.3",70
"407.18682_489.9",41
"407.20312_532.3",2896
"407.20684_270.4",2901
"407.2192_573.5",2897
"407.27969_369.2",2900
"407.85938_950.6",39
"408.2102_270.4",2902
"408.22243_573.5",2895
"408.28334_369.2",2819
"408.84649_946.4",2897
"408.85822_29.5",2900
"409.14428_381.9",2816
"409.19004_571.7",2898
"409.26177_525.7",2898
"409.28633_369.2",2662
"409.78151_950.6",2906
"410.16077_468.6",149
"410.164_316.5",2899
"410.19375_571.7",2901
"410.22099_344.4",2900
"410.28932_369.2",50
"410.37101_617.2",2899
"410.84294_946.4",2698
"411.03254_33",2899
"411.08659_329.8",27
"411.12912_240.7",2897
"411.18461_269.8",2894
"411.19617_547.4",2896
"411.20188_405",2900
"411.20531_599",2902
"411.29195_368.9",47
"411.38369_638.4",2898
"411.84567_946.4",137
"412.04857_956.1",22
"412.13235_240.1",2889
"412.20905_598.4",2877
"412.2851_542.6",2900
"412.38714_639",2897
"412.83211_960.3",89
"412.96667_367.4",2898
"413.1633_264.3",2885
"413.19998_283.1",2901
"413.21184_571.7",2898
"413.22136_629.9",2900
"413.36259_603.8",2893
"414.20291_283.1",2894
"414.30008_555.3",2895
"414.36623_603.8",2900
"415.19146_555.3",2897
"415.20742_571.7",2900
"415.22497_479.9",2898
"415.22763_599.6",2898
"415.31671_428",2898
"416.21076_572.3",2896
"416.22771_479.2",2893
"416.2307_599",2903
"416.84694_952.4",49
"417.21144_343.1",91
"417.22304_599",2901
"417.24009_505.8",2896
"417.24318_629.9",2897
"417.2854_513.6",2898
"417.30055_551.1",2897
"418.21046_588.1",2859
"418.22609_599.6",2898
"418.84529_955.5",26
"418.88832_948.5",117
"418.97283_388.6",2894
"419.04956_460.7",2883
"419.23867_629.9",2902
"419.25598_537.8",2899
"419.8269_27.7",2887
"420.24212_629.9",2898
"420.2499_345",2897
"420.84022_956.1",46
"421.18699_437.1",2895
"421.25274_345",2903
"421.36784_622",2903
"421.83958_954.9",56
"422.1811_263.7",2895
"422.25607_345",2904
"422.32704_408.6",2896
"423.14727_547.4",2891
"423.34701_592.3",2898
"423.83529_950.6",2750
"423.91066_949.4",60
"424.24658_441.3",2899
"424.35052_592.9",2894
"424.98567_350.4",52
"425.07987_391",2898
"425.11714_291.6",2902
"425.16262_571.7",2898
"425.19964_352.2",2897
"425.25715_483.8",2896
"425.3626_602.6",2900
"425.39918_652.9",2901
"425.83236_950",114
"426.10072_956.1",44
"426.11871_292.2",2884
"426.18041_599.6",2899
"426.20279_352.2",2883
"426.26043_484.1",2890
"426.36625_602.6",2897
"426.40223_652.9",2896
"426.98161_345",29
"427.11363_588.1",2898
"427.1323_311",2902
"427.1632_572.3",2897
"427.16975_496.1",167
"427.17819_599",2901
"427.17915_280.1",2897
"427.21565_334.1",2897
"428.17333_495.9",54
"428.18071_280.1",2896
"428.18134_599",2892
"428.219_297.1",2900
"428.38122_620.8",2887
"429.04681_415.3",2717
"429.1116_588.1",2898
"429.17676_342.5",2899
"429.19429_629.9",2897
"429.30034_434",2901
"429.33717_618.4",2897
"430.11279_588.1",2900
"430.2951_369.8",2901
"430.30345_434",2899
"430.33925_618.4",2905
"430.97186_948.2",49
"431.04554_414.7",55
"431.11198_588.1",2896
"431.16389_541.4",2896
"431.21113_446.2",2445
"431.22675_271",2905
"431.25877_588.1",2898
"431.31502_432.8",2901
"431.31549_386.8",2886
"431.31601_562",2900
"431.92617_938.5",117
"431.94243_950.6",26
"431.97653_361.3",66
"432.11381_588.1",2893
"432.31188_417.7",2898
"433.01461_32.4",2903
"433.11256_588.1",2898
"433.11102_240.1",2900
"433.22301_429.8",2892
"433.33146_591.7",2901
"433.36761_651.1",2894
"433.96446_349.2",2874
"434.33447_592.3",2898
"434.81376_957.9",109
"434.8923_955.5",109
"435.115_588.1",2893
"435.14558_292.2",2898
"435.25122_479.2",2890
"436.14855_292.2",2899
"436.28272_507",2902
"436.81666_953.1",40
"436.864_948.8",2791
"437.05318_268",2893
"437.11447_446.8",148
"437.14749_292.2",2897
"437.16095_311",2901
"437.28609_507",2898
"437.29025_415.9",2896
"437.32643_544.4",2898
"438.06256_496.5",156
"438.16422_311",2899
"438.29379_415.9",2894
"438.29716_504.5",2898
"438.96535_954.3",68
"439.1568_573.5",2882
"439.15766_541.4",2895
"439.16046_220.1",2897
"439.19119_547.4",2899
"439.20735_572.9",2895
"439.27383_505.6",2901
"439.34264_570.5",2899
"439.81477_950.6",92
"439.88527_948.2",75
"440.19418_547.4",2890
"440.27709_505.1",2903
"440.88604_947.6",45
"441.20217_603.8",2901
"441.20228_603.2",2901
"441.20723_572.3",2899
"441.25219_438.9",2897
"441.35762_528.7",2895
"441.39422_606.9",2895
"441.78604_962.7",40
"442.08932_598.4",2889
"442.16607_588.1",2904
"442.2059_603.8",2899
"442.20544_603.2",2896
"442.20987_572.3",2895
"442.25544_439.5",2901
"442.3972_606.9",2886
"442.89323_21.8",2894
"442.97343_386.2",45
"443.10862_175.2",2903
"443.13348_598.4",2887
"443.15558_341.9",2899
"443.20959_271.6",2881
"443.22226_599.6",2899
"443.31571_572.9",2899
"443.34819_473.2",2902
"443.82322_949.4",35
"443.8821_946.4",23
"444.14481_555.3",2895
"444.15867_342.5",2896
"444.2596_369.2",2852
"444.33276_435.3",2900
"444.87791_946.4",98
"444.97179_342.5",111
"445.15276_174",77
"445.23831_629.9",2903
"445.33159_593.5",2901
"445.82387_949.4",87
"445.87793_945.2",89
"445.97528_342.5",36
"446.09449_496.3",159
"446.16006_588.1",2903
"446.29067_340.7",2897
"446.33486_594.1",2898
"446.37571_665.7",2904
"446.76566_952.7",46
"446.90516_21.8",123
"446.90181_948.2",2897
"447.14307_446.8",175
"447.27478_430.4",2899
"447.29339_340.7",2894
"447.29861_529.9",2895
"447.37902_665.1",2895
"447.821_949.4",84
"448.06408_513",2763
"448.2782_429.8",2901
"448.30653_368.6",2899
"448.30627_326.8",2900
"448.93281_369.2",2883
"449.16315_572.9",2903
"449.25376_451",2900
"450.25925_452.2",2900
"450.31243_369.2",2900
"451.11373_571.7",2889
"451.14001_254",2904
"451.20198_291.6",2896
"451.26298_452.8",2896
"451.34202_551.1",2894
"451.84243_948.2",60
"452.13536_292.2",2897
"452.27748_485.9",2898
"452.84229_948.2",71
"452.92196_939.7",147
"452.92224_21.8",2891
"453.12891_599",2896
"453.1385_291.6",2902
"453.1781_588.1",2897
"453.23104_358.3",2894
"453.28108_485.9",2901
"453.28459_369.2",2896
"453.2888_526.9",2898
"453.32095_475",2897
"453.33283_385",2899
"453.35748_565.6",2897
"453.39372_629.9",2898
"453.78575_969.4",43
"453.8503_949.4",61
"453.92524_939.7",38
"454.1123_571.7",2892
"454.15111_311",2897
"454.28369_486.5",2891
"454.28847_369.2",83
"454.84074_948.2",84
"455.11242_571.7",2900
"455.12747_599",2888
"455.14081_468.6",151
"455.2195_599",2876
"455.22799_341.3",2899
"455.24677_371.6",2900
"455.26688_461.2",2897
"455.29185_369.2",116
"455.787_955.5",52
"456.11414_571.1",2897
"456.12329_495.9",163
"456.12872_599",2902
"456.21862_357.7",2897
"456.25016_371",2903
"456.27037_461.2",2894
"456.29485_369.2",168
"456.83583_948.2",52
"457.09864_446.8",204
"457.11227_571.7",2899
"457.12805_598.4",2898
"457.17916_555.3",2901
"457.1994_588.1",2895
"457.27357_599.6",2896
"457.353_533.5",2893
"457.78686_950.6",84
"457.83558_947.6",2272
"458.00034_415.3",491
"458.12953_598.4",2896
"458.14412_629.9",2903
"458.35574_533.5",2879
"458.4206_530.5",2889
"459.12818_598.4",2899
"459.14357_629.9",2880
"459.16316_468.6",160
"459.19487_588.7",2906
"459.25029_466",154
"459.28955_616.6",2898
"460.132_598.4",2893
"460.20988_588.1",2902
"460.29315_616.6",2899
"460.93217_365.6",2893
"461.0008_405.6",2873
"461.13076_598.4",2891
"461.15854_468",164
"461.81388_26.3",2893
"461.88003_947",50
"462.17676_258.3",2899
"462.29821_517.8",2899
"463.20665_571.1",2898
"463.29132_513.6",2901
"463.30571_413.5",2900
"463.34101_516",2899
"463.76866_959.1",23
"463.88152_949.4",32
"464.29593_513.6",2898
"464.301_332.2",2898
"464.30949_413.5",2894
"464.31434_549.3",2896
"464.87782_943.3",44
"465.1924_309.2",2899
"465.20633_573.5",2904
"465.24888_328",2899
"465.28531_496.7",2900
"465.30401_582.6",2899
"465.30457_332.2",2900
"465.31743_549.9",2900
"465.35729_594.7",2893
"465.35724_574.1",2897
"465.88114_943.4",20
"466.24167_368.6",151
"466.29292_505.1",2898
"466.307_582.6",2897
"466.30721_332.2",2897
"466.32806_547.5",2899
"466.6395_25.6",2896
"466.80479_946.4",37
"466.87397_943.3",64
"467.18949_588.7",2896
"467.19218_296.5",2880
"467.30906_582.6",2897
"467.34836_402",2900
"467.37325_577.8",2897
"467.78558_960.9",63
"467.87656_942.7",105
"467.90328_949.4",52
"468.12961_254",2891
"468.18149_599",2897
"468.31023_582.6",2898
"468.33244_424.4",2885
"468.90359_949.4",162
"469.15041_588.1",2899
"469.18408_598.4",2902
"469.22605_311",2903
"469.23842_528.1",2897
"469.25852_429.2",2885
"469.28351_484.1",2899
"469.78063_960.3",67
"469.90079_949.4",35
"470.16037_571.7",2899
"470.19725_629.9",2891
"470.22948_311",2896
"470.25695_305",2894
"470.28702_484.1",2902
"470.32145_385",2884
"470.34822_447.3",2899
"470.78352_959.7",61
"470.81786_948.2",255
"470.89861_949.4",286
"471.11372_468.6",163
"471.16498_572.3",2878
"471.24159_337.7",2898
"471.25413_555.3",2896
"471.26629_518.4",2888
"471.29431_515.4",2893
"471.34619_599.6",2870
"471.37918_517.2",2896
"471.78487_960.9",166
"471.83006_954.9",99
"472.17545_599.6",2898
"472.27006_517.8",2894
"472.68578_29.1",2893
"472.81344_948.2",2547
"473.16469_570.5",2881
"473.27515_402.6",2899
"473.28149_552.3",2896
"473.28209_551.7",2891
"473.399_722.1",172
"473.83578_947",105
"474.12604_574.1",2901
"474.19105_629.9",2893
"474.26208_450.9",2901
"474.28554_551.7",2892
"474.40193_722",161
"474.40223_722.7",54
"475.30574_434.7",2901
"475.32659_406.8",2890
"475.35992_680.2",2898
"475.37826_623.2",2898
"475.76512_948.8",158
"475.83161_946.4",58
"475.88527_939.1",104
"475.8851_939.7",25
"476.27764_472.6",2898
"476.30894_434.1",2895
"476.3625_680.2",2888
"476.83403_945.8",67
"477.17751_571.7",2905
"477.27326_369.2",110
"477.28085_472.6",2900
"477.32105_432.8",2900
"478.29317_497.9",2901
"478.82959_945.8",2844
"479.19292_599",2901
"479.26468_377.7",2899
"479.28301_421.4",2899
"479.29676_497.9",2897
"479.31971_593.5",2897
"479.37147_639",2894
"479.83143_945.8",313
"480.28655_420.7",2901
"480.30903_529.3",2898
"480.30903_479.2",2900
"480.32253_593.5",2897
"480.82919_945.8",25
"480.96977_380.7",136
"480.96949_948.8",30
"481.10658_430.4",78
"481.17998_547.5",2896
"481.19921_571.7",2899
"481.20724_309.2",2901
"481.24348_276.5",2894
"481.25721_479.2",2893
"481.28011_383.8",2898
"481.31229_529.3",2898
"481.31218_479.2",2900
"482.09019_229.8",2898
"482.24737_277.1",2895
"482.28354_383.8",2897
"482.31489_479.2",2901
"482.31487_529.3",2895
"482.81144_955.5",2032
"483.19515_572.3",2900
"483.21588_599",2896
"483.25887_284.9",2897
"483.2724_478",2894
"483.30088_504.8",2893
"483.36839_527.5",2898
"483.83194_959.1",59
"484.15441_574.1",2902
"484.26758_389.8",2898
"485.16575_240.1",2904
"485.21019_599.6",2898
"485.27844_438.3",2900
"485.38379_537.8",2895
"486.1692_239.5",2900
"486.22518_599",2897
"486.28129_438.3",2894
"486.38772_537.8",2881
"487.20118_292.2",2896
"487.22577_630.5",2902
"487.29056_499.1",2895
"487.32718_423.2",2897
"487.78852_948.2",33
"488.23703_345",2900
"488.23844_629.9",2895
"488.29399_499.7",2904
"488.82667_953.7",28
"488.96204_954",64
"489.01349_460.6",2798
"489.17315_547.4",2897
"489.2166_310.4",2894
"489.24063_344.4",2888
"489.28257_700.8",168
"489.30361_526.3",2895
"489.82642_953",2452
"490.01454_460.6",2901
"490.30706_526.9",2879
"491.18886_572.9",2896
"491.32204_557.2",2898
"491.32282_360.1",2892
"491.37334_611.7",2897
"491.82137_949.4",88
"492.32535_557.2",2900
"493.06816_516",2894
"493.15058_572.3",2895
"493.27859_387.4",2894
"493.29931_434",2887
"493.33501_611.1",2899
"493.38889_594.7",2867
"493.81802_950",82
"494.15581_571.7",2891
"494.16863_599.6",2896
"494.32466_499.1",2898
"494.96883_361.3",147
"494.96871_948.2",2882
"495.16595_599",2895
"495.22011_630.5",2899
"495.22271_268",2902
"495.29548_352.8",2898
"495.29583_516",2896
"495.31521_608.1",2900
"495.4044_623.8",2900
"495.97224_361.3",100
"496.16917_599",2812
"496.29956_352.8",2897
"496.30339_496.1",2893
"496.31861_608.1",2897
"496.40782_623.8",2900
"496.78813_965.8",42
"497.11565_291.6",2894
"497.27495_340.1",2899
"497.28904_434.1",2897
"497.41123_623.8",2898
"498.11864_292.2",2894
"498.26181_451.5",2899
"498.28862_336.5",2884
"498.9295_388.6",2900
"499.13222_311",2897
"499.26555_451.6",2895
"499.29129_339.5",2901
"499.31849_562",2897
"499.93276_388.6",2899
"500.27773_473.8",2898
"500.29287_340.1",2895
"500.32205_562",2901
"500.83911_946.4",105
"501.28106_473.8",2901
"501.85544_950",86
"502.14111_291.6",2904
"502.27025_435.3",2896
"502.29291_490.1",2898
"502.78049_956.7",2753
"503.06534_461.8",2854
"503.13284_292.2",2896
"503.29665_490.1",2898
"503.32185_369.2",2901
"503.40951_634.1",2898
"504.06613_461.8",2780
"504.13615_292.2",2890
"504.27016_507",2892
"504.30876_465.4",2903
"504.85037_948.2",26
"505.14852_311",2889
"505.20731_374.1",2901
"505.31229_465.4",2901
"505.33537_591.7",2896
"505.38497_427.4",2889
"505.42466_654.2",2899
"506.31489_466",2898
"506.32445_491.3",2900
"506.33858_591.7",2894
"507.19515_572.9",2902
"507.22286_406.8",2895
"507.25312_426.2",2900
"507.27173_464.8",2898
"507.31932_458.2",2891
"507.32812_491.3",2900
"507.35072_618.4",2897
"507.80136_950.6",37
"508.20801_369.8",116
"508.22647_406.8",2897
"508.2754_464.8",2897
"508.33075_490.7",2897
"508.34035_522",2899
"508.35366_618.4",2900
"509.22904_406.8",2899
"509.27466_339.5",2894
"509.28732_489.5",2902
"509.33055_619.6",2898
"509.34379_522",2896
"509.3755_722.7",157
"510.15285_588.1",2899
"510.25255_316.5",2900
"510.29154_489.5",2898
"510.33304_619.6",2897
"510.34592_522",2897
"510.379_722.7",139
"510.62047_25.6",2891
"510.87758_939.1",37
"510.88049_21.8",2896
"511.21603_298.9",2905
"511.25572_316.5",2900
"511.29047_332.2",2900
"511.29076_501.5",2897
"511.3994_592.3",2895
"511.39969_557.8",2895
"511.47202_588.1",2898
"511.87001_945.8",27
"512.26822_346.8",2900
"512.29237_332.2",2899
"512.29393_501.5",2901
"512.29897_435.3",2900
"512.3342_474.5",2900
"512.4028_557.8",2890
"512.47577_588.1",2889
"512.70809_968.2",326
"512.83526_959.1",107
"512.86565_945.2",43
"513.08798_292.2",2899
"513.23729_338.9",2883
"513.27122_346.8",2898
"513.30227_435.3",2898
"513.74008_25",2895
"514.147_588.1",2901
"514.27096_346.8",2898
"514.28397_305.6",2896
"514.30482_435.3",2899
"514.89233_21.8",25
"515.13033_446.8",132
"515.33142_602.6",2895
"515.37253_552.3",2901
"515.40906_642",2881
"515.77484_968.2",23
"516.28495_457",2905
"516.29377_368.6",2898
"516.32075_497.3",2899
"517.1511_572.9",2894
"517.24083_451.5",2895
"517.29931_370.4",2902
"517.38896_529.3",2896
"517.38906_568.7",2897
"518.38375_764.5",2888
"518.42791_657.2",2888
"519.22222_409.2",2891
"519.32647_680.2",2894
"519.40436_722.7",173
"519.40445_600.2",2898
"519.82908_948.2",39
"520.26471_485.9",2901
"520.32855_680.8",2891
"520.40776_601.4",2901
"520.83016_948.2",2767
"520.90916_939.7",85
"520.90933_21.8",2892
"521.16522_588.1",2888
"521.26806_485.9",2899
"521.32267_680.2",2891
"521.91251_939.7",74
"522.27465_368.6",2883
"522.32463_679.6",2894
"522.74733_30.9",2897
"522.77742_950",147
"522.82651_947.6",2680
"523.12877_468",162
"523.26136_582.6",2883
"524.25178_369.2",62
"524.27743_473.8",2897
"524.33518_498.5",2898
"525.08586_447.4",37
"525.08504_446.1",137
"525.16648_555.3",2896
"525.26992_274",2898
"525.28098_473.8",2901
"525.33833_498.5",2899
"526.24755_290.4",2889
"526.29329_485.9",2895
"526.31433_457",2900
"526.35048_496.7",2899
"526.96019_102.6",2875
"526.9769_387.4",55
"527.18259_589.3",2907
"527.21298_286.2",2901
"527.31782_457.6",2900
"527.35389_496.7",2899
"527.39371_523.8",2897
"527.43007_617.2",2899
"527.77136_949.4",37
"528.2158_285.5",2897
"528.26308_321.3",2897
"528.26293_284.9",2901
"528.28636_449.2",2897
"528.35687_496.7",2898
"529.14586_468",149
"529.20474_406.8",2901
"529.26641_321.3",2900
"529.26595_284.9",2898
"529.31257_467.8",2875
"530.20789_406.8",2897
"530.26556_321.3",2898
"530.28386_449.7",2900
"530.30199_479.3",2897
"530.7733_948.8",14
"530.86532_21.2",2898
"530.96712_399.5",2812
"530.96636_948.2",52
"531.30521_478.7",2900
"532.29952_479.2",2899
"532.33922_505.1",2871
"533.1791_309.2",2900
"533.24246_282.5",2899
"533.29108_582.6",2899
"533.30175_479.2",2896
"533.4543_588.1",2899
"534.15231_572.3",2897
"534.24974_347.4",2899
"534.2946_582.6",2893
"534.45755_588.1",2900
"534.79185_945.8",106
"534.86153_942.7",31
"534.92155_445.5",22
"535.25331_346.8",2902
"535.29117_501.5",2898
"535.39964_505.8",2894
"535.39927_542",2891
"536.29952_435.3",2892
"536.78956_946.4",47
"537.13811_588.1",2899
"537.32672_328",2895
"537.41526_574.1",2897
"537.76804_958.5",35
"538.18435_629.9",2898
"538.31463_449.7",2897
"538.35043_514.2",2898
"538.41877_574.1",2899
"538.8036_948.2",70
"539.10133_467.4",132
"539.24911_329.2",2897
"539.24949_271.6",2898
"539.31786_449.7",2898
"539.43088_590.5",2899
"540.16267_599.6",2900
"540.25244_271",2897
"540.26309_388",2894
"540.32055_449.7",2895
"540.33012_479.4",2899
"540.43436_590.5",2899
"540.80008_948.2",209
"541.26486_263.1",2886
"541.32352_449.7",2890
"541.33322_479.4",2898
"541.82274_946.4",38
"542.17864_629.9",2888
"542.26837_263.1",2884
"542.33645_479.3",2901
"543.27824_262.5",2893
"543.33878_479.2",2898
"543.34505_556.5",2894
"543.78096_960.3",331
"543.87271_939.7",77
"544.25773_369.2",113
"544.26486_472.6",2898
"544.34165_479.2",2899
"544.34793_555.9",2896
"544.61742_25.6",2900
"544.78395_959.7",45
"544.82084_945.2",2176
"544.9656_948.2",51
"544.96566_380.7",74
"545.16483_571.7",2900
"545.26124_369.2",53
"545.26842_472.6",2897
"545.82418_945.8",76
"545.91819_949.4",280
"546.16834_571.7",2891
"546.2808_498.5",2898
"546.31881_512.4",2895
"546.39255_629.9",2886
"546.81721_945.2",29
"547.18041_599",2899
"547.27086_420.7",2897
"547.28466_498.5",2895
"547.32142_680.2",2899
"547.81963_945.2",26
"548.29603_529.3",2898
"548.32457_680.2",2900
"548.37721_608.7",2898
"549.16704_548.1",2894
"549.19605_629.9",2899
"549.29939_529.3",2900
"549.32722_680.2",2896
"550.3019_529.3",2895
"550.31414_446.1",2880
"550.35081_509.4",2895
"551.16666_554.7",2903
"551.18197_571.7",2897
"551.3546_509.4",2899
"551.35781_606.9",2902
"551.46673_658.4",2892
"552.2853_444.3",2901
"552.32985_470.8",2900
"552.36669_540.8",2900
"552.36635_508.2",2896
"553.19747_599",2896
"553.33291_470.8",2896
"553.36987_507.6",2894
"553.42407_657.2",2877
"553.78218_947.6",113
"554.18432_587.5",2904
"554.30148_464.8",2901
"554.314_342.5",2894
"554.34585_499.1",2899
"554.38168_539.6",2901
"554.47828_691.1",2897
"554.76649_25.2",2894
"554.9153_32.4",2903
"555.21337_629.9",2897
"555.27832_499.7",2882
"555.30475_464.8",2901
"555.34901_499.1",2901
"555.38576_539.6",2898
"555.44085_660.8",2900
"555.48056_690.5",2890
"556.29982_464.8",2898
"556.31755_491.3",2899
"556.32583_354.1",2901
"556.38767_539.6",2897
"556.77742_947",63
"557.30265_463.6",2899
"557.3215_479.9",2897
"557.32917_353.5",2899
"557.83297_958.5",100
"558.31531_491.3",2897
"558.33252_522",2900
"558.77344_947",24
"558.85686_947.6",33
"559.33594_522",2899
"559.39708_574.1",2895
"559.47243_571.7",2895
"559.47138_680.8",2900
"560.22799_680.2",2896
"560.28361_480.4",2904
"560.33097_522",2901
"560.47556_571.7",2896
"561.13816_571.7",2901
"561.20069_258.3",2896
"561.22755_680.2",2901
"561.33357_522",2898
"561.37953_597.8",2900
"561.48722_697.8",2897
"562.22838_680.2",2890
"562.31457_444.3",2899
"562.38328_597.8",2900
"563.03231_513.6",2890
"563.15372_599",2897
"563.22653_680.2",2892
"563.31779_444.3",2899
"563.50362_598.4",2898
"564.0329_513.6",2817
"564.24409_369.2",53
"564.33015_465.4",2898
"564.32975_466.2",2898
"564.50678_598.4",2892
"565.30109_329.2",2895
"565.3335_466.2",2899
"565.33384_465.4",2899
"565.51006_598.4",2895
"566.30442_329.2",2898
"566.33636_465.4",2901
"566.34592_491.3",2899
"566.77177_956.7",26
"566.89889_939.1",41
